Object,Primary Spec,Secondary Spec,Age [Myr],Mass primary [Msol],Mass secondary [MJ],Sep [AU] ,Ref,,,,
2M1207,M8,L5,8,0.025,5,46,Chauvin (2004),,,,
AB Pic,K2V,L1,30,0.84,14,248,Chauvin (2005c),,,,
Oph 11,M9,M9.5,5,0.0175,15,237,Close 2007 Luhman (2007b),,,,
GQ Lup,K7V,L1.5,3,0.7,17,100,Neuhauser (2005),,,,
HN Peg,G0V,T2.5,200,1,18,795,Luhman (2007a),,,,
TWA 5,M1.5,M8/8.5,8,0.4,20,98,Lowrance (1999),,,,
LP 261-75,dM4.5e,L6,150,0.12,20,506,Kirkpatrick (2000),,,,
GJ 802,M5+M5,L6,2000,0.28,66,1.46,Ireland,et,al.,-2008,
SCR1845-6357,M8.5,T6,1800−3100,0.1,45,4,Kasper,et,al.,(2007b),
Gl 337,G8+K1,L8,600−3400,1.74,110,11,Wilson,et,al.,-2001,
G 124-62,dM4.5e,L0.5,500−800,0.24,72,13,Martin,et,al.,-1999,
Gl 779b,G1V,L4.5,1000−3000,1.02,66,13,Liu,et,al.,-2002,
2MASS J1707-05,M9,L3,500−5000,0.077,70,15,McElwain,&,Burgasser,-2006,
Gl 86,K1V,L/T,1000−9999,0.77,50,19,Els,et,al.,-2001,
G 239-25,M1.5,L0,0,0.32,75,30,Golimowski,et,al.,-2004,
HD 49197,F5,L4,260−790,1.4,54,42,Metchev,&,Hillenbrand,-2004,
Gl 229,M1/2V,T7,3000,0.56,35,45,Nakajima,et,al.,-1995,
HD 130948,G2V,L4+L4,<800,1,140,47,Potter,et,al.,-2002,
GL 569 B,M2.5V,zzz,250−500,0.5,123,49,Lane,et,al.,-2001,
GJ 1001,M3.5,L5,>1000,0.4,100,178,Goldman,et,al.,-1999,
HR 7329,A0Vn,M7/8,12,2.9,30,198,Lowrance,et,al.,-2000,
GG Tau B,M5,M7,1−2,0.12,44,207,White,et,al.,-1999,
LHS 5166,dMe4.5,L4,<2600,0.24,70,228,Seifahrt,et,al.,-2005,
GJ 1048,K3V,L1,1000,0.72,65,250,Gizis,et,al.,-2001,
GSC 8047-232,K3V,L0,10−50,0.8,25,279,Chauvin,et,al.,(2005b),
G 196-3,dM3Ve,L2,100,0.25,25,300,Rebolo,et,al.,-1998,
ScoPMS214,K1IV,M6,5,1.02,25,450,Metchev,-2006,,,
HD 3651,K0V,T7.5,1000−9999,0.79,40,480,Mugrauer,et,al.,-2006,
HD 203030,G8V,L7.5,130−400,1.6,23,487,Metchev,&,Hillenbrand,-2006,
GJ 618.1,M0V,L2.5,500−12,0,0.51,70,1089,Wilson,et,al.,-2001
Epsilon Indi Ba+b,K4.5Ve,T1+T6,800−2000,0.77,75,1459,Scholz,et,al.,-2003,
Gliese 570,K5+M1+,T7,2000−9999,1.7,50,1526,Burgasser,et,al.,-2000,
Gl 417,G0V,L4.5,80−300,1,35,1955,Kirkpatrick,et,al.,-2000,
HD 89744,F7V,L0,1500−3000,1.48,78,2460,Wilson,et,al.,-2001,
Gl 584,G2+G2,L8,1000−2500,2,60,3612,Kirkpatrick,et,al.,-2000,
